cell_id,detectors,t_rel,gate_t_start_rel,gate_t_end_rel,luminosity_distance_lo,luminosity_distance_med,luminosity_distance_hi,chirp_mass_lo,chirp_mass_med,chirp_mass_hi,mass_ratio_lo,mass_ratio_med,mass_ratio_hi,theta_jn_lo,theta_jn_med,theta_jn_hi,gated_recovers,poison_style_collapse,delta_dL_med,js_chirp_mass,js_mass_ratio,js_luminosity_distance,js_theta_jn,js_geocent_time,js_max,power_removed_frac_H1,power_removed_frac_L1,modified_detectors,error,elapsed_s
10,H1,-0.531463602581242,-0.9314636025812421,-0.131463602581242,12.085200691223145,18.060216903686523,40.396363449096675,1.197495883703232,1.1976039409637451,1.1977234959602356,0.7301858723163605,0.8715849220752716,0.9877148449420929,1.8327442228794097,1.965639352798462,2.6498416662216187,False,False,-15.798833847045898,0.052941992581077235,0.03394602922246605,0.23637093658413683,0.21668022419342234,0.07285013796512102,0.23637093658413683,0.004090517330403421,0.0,H1,,1.626
11,H1,-1.9950706996937335,-2.3950706996937337,-1.5950706996937334,17.668110847473145,33.14323616027832,45.31994209289551,1.1974718809127807,1.1975840330123901,1.1977119505405427,0.7123011142015457,0.8746419548988342,0.9890152454376221,1.9071539878845214,2.326586961746216,2.878574776649475,True,False,-0.7158145904541016,0.03439381758444626,0.04331542475156884,0.03288019021472717,0.03658839405448842,0.03052598514088914,0.04331542475156884,0.007806824666780362,0.0,H1,,1.752
12,H1,-0.45667230214237514,-0.8566723021423752,-0.05667230214237512,20.88996067047119,35.21799278259277,45.2203592300415,1.19745312333107,1.1975638270378113,1.1976889789104461,0.721838191151619,0.8593847453594208,0.9861749619245529,2.00325528383255,2.4204111099243164,2.921814227104187,True,False,1.3589420318603516,0.041881601894096177,0.029160215150226022,0.03848954197317606,0.03830287501124282,0.03441504246876257,0.041881601894096177,0.00378477492621798,0.0,H1,,1.79
13,H1,-1.9395459644501643,-2.3395459644501644,-1.5395459644501641,14.382894706726074,25.13979434967041,44.57140998840332,1.1974556982517242,1.1975678205490112,1.1976945042610168,0.7177303224802017,0.873961865901947,0.9855041980743408,1.856091606616974,2.115163564682007,2.8225035429000855,True,False,-8.719256401062012,0.036280689983316565,0.03470258237259982,0.08932015889460274,0.09363021153984577,0.0337240659608524,0.09363021153984577,0.007388652283724307,0.0,H1,,1.8
14,H1,-0.6866201964261006,-1.0866201964261006,-0.2866201964261006,14.639992904663085,27.961661338806152,42.59153289794922,1.1974573850631713,1.1975827813148499,1.1977144002914428,0.7247933804988861,0.8770105838775635,0.984997108578682,1.889770931005478,2.187268018722534,2.8020941853523254,True,False,-5.8973894119262695,0.033169252462570235,0.028708434985705834,0.08525423167096552,0.06986064066339419,0.03910100042070209,0.08525423167096552,0.006519002582876641,0.0,H1,,1.806
15,H1,-1.6838198829153939,-2.0838198829153938,-1.283819882915394,19.06517963409424,32.556148529052734,43.124856567382814,1.1974818646907806,1.197590708732605,1.197728878259659,0.7295439451932907,0.8766478300094604,0.9852669477462769,1.9645985603332519,2.3646589517593384,2.8812450766563416,True,False,-1.3029022216796875,0.03178326541519479,0.028572375790954875,0.04419777011159769,0.041817842557121544,0.04077524226780994,0.04419777011159769,0.006632909881424477,0.0,H1,,1.664
16,H1,-0.44627793977020414,-0.8462779397702042,-0.04627793977020411,19.93102970123291,34.81831741333008,45.48022022247314,1.1974558413028717,1.1975634694099426,1.1976856529712676,0.7289728552103043,0.8731519877910614,0.9829204022884369,1.964043003320694,2.3761731386184692,2.906631886959076,True,False,0.9592666625976562,0.042215504035224415,0.03194294538708445,0.036914537510463336,0.036323114743831965,0.03766038484024199,0.042215504035224415,0.0038960098763343174,0.0,H1,,1.68
17,H1,-1.025369803551635,-1.425369803551635,-0.625369803551635,17.151358604431152,32.414445877075195,45.78890533447266,1.1974441289901734,1.1975757479667664,1.1976989269256593,0.7244158238172531,0.8759116530418396,0.9914707988500595,1.897559356689453,2.302594542503357,2.9006942391395567,True,False,-1.4446048736572266,0.03123921082132061,0.035346222174465876,0.032567526445237124,0.03854520606782902,0.030175998971168627,0.03854520606782902,0.008340201530676352,0.0,H1,,1.669
18,H1,-1.4605185970327075,-1.8605185970327076,-1.0605185970327073,18.223545646667482,33.907602310180664,45.37686614990234,1.197469800710678,1.1975850462913513,1.1977153778076173,0.7246933907270432,0.8788022994995117,0.9873012244701386,1.9497560024261475,2.3612747192382812,2.9528808116912844,True,False,0.04855155944824219,0.032310695357248766,0.041289838760536796,0.02605755503956042,0.03594927430427765,0.04068242920442405,0.041289838760536796,0.006138858759200084,0.0,H1,,1.573
19,H1,-1.2391630018442148,-1.639163001844215,-0.8391630018442148,19.645580863952638,33.85412406921387,46.39599876403808,1.1974683940410613,1.1975745558738708,1.1976937890052795,0.7120107620954513,0.8683407306671143,0.9858457744121552,1.908071082830429,2.35283362865448,2.930029273033142,True,False,-0.0049266815185546875,0.034496734344425115,0.030892458141808,0.021934762212079732,0.03633857705866474,0.0384904849670233,0.0384904849670233,0.006990998551742641,0.0,H1,,1.714
20,"H1,L1",-1.9490245919381666,-2.3490245919381665,-1.5490245919381667,19.03366889953613,34.12727737426758,44.81197109222412,1.1974692225456238,1.197580337524414,1.1977072060108185,0.7310667157173156,0.8709890842437744,0.9894339799880981,1.9720959961414337,2.3857059478759766,2.886599671840668,True,False,0.26822662353515625,0.03922057488461657,0.03433463229225005,0.03342410040881223,0.03600966244765816,0.03783013526256831,0.03922057488461657,0.007400896684030339,0.004282829053896716,"H1,L1",,1.772
21,"H1,L1",-1.7762901023007849,-2.176290102300785,-1.3762901023007847,15.587747955322266,30.45423984527588,44.62891864776611,1.1974641978740692,1.1975744366645813,1.1976910531520844,0.7263700634241104,0.8775660991668701,0.9857413411140442,1.9052566945552827,2.278970241546631,2.9274648666381835,True,False,-3.404810905456543,0.03678766518941854,0.03721206350584354,0.04612439695060045,0.0468547442889944,0.030286865999175044,0.0468547442889944,0.006488144866802254,0.004107993042730511,"H1,L1",,1.694
22,"H1,L1",-0.7928760535514654,-1.1928760535514655,-0.3928760535514654,18.457338714599608,33.23283576965332,45.314941024780275,1.197463458776474,1.197582483291626,1.1977084517478942,0.7167733311653137,0.8734624087810516,0.9906861782073975,1.9143817663192748,2.3150986433029175,2.8478610277175904,True,False,-0.6262149810791016,0.023509855752873624,0.027575395778979474,0.02489569346173496,0.044702518792615865,0.027692179482002966,0.044702518792615865,0.00738744114967803,0.004258329894614271,"H1,L1",,1.857
23,"H1,L1",-0.8350588791663498,-1.23505887916635,-0.4350588791663498,14.230203437805176,24.897433280944824,44.696227836608884,1.1974618911743165,1.1976024508476257,1.1977274000644684,0.7311427265405654,0.8744234144687653,0.9826250016689301,1.8500429213047027,2.0952954292297363,2.8209049701690674,True,False,-8.961617469787598,0.05630258637660446,0.03265838496945747,0.0878735639145808,0.10405784322492648,0.06085473946947624,0.10405784322492648,0.007465019044779514,0.004586374532618093,"H1,L1",,1.783
24,"H1,L1",-0.892306799333743,-1.2923067993337432,-0.492306799333743,21.012034797668456,34.54656410217285,44.8756290435791,1.1974517107009888,1.1975674629211426,1.1976927936077117,0.7224085211753846,0.8661407828330994,0.9821596205234527,2.008536124229431,2.4136425256729126,2.897106945514679,True,False,0.6875133514404297,0.03349563664170067,0.031000250820843324,0.042562027888040914,0.047539027728811446,0.041860030690526455,0.047539027728811446,0.007663266955647478,0.004214093595117548,"H1,L1",,1.579
