cell_id,family,severity,held_out,arm,lo,med,hi,recovers_like_clean,poison_collapsed,n_gates,detector_fired,t_inject_detect_s,t_rebuild_s,t_pe_s,error
10,scattered_light,10.0,False,gate_welch,10.733587074279786,13.018835067749023,16.894278717041015,False,False,1,True,3.1716,0.0254,1.6202,
10,scattered_light,10.0,False,adapt_full,19.433145141601564,35.13646697998047,45.25566577911377,True,False,1,True,3.1716,0.0254,1.535,
10,scattered_light,10.0,False,fft_replace,9.95504264831543,10.020866394042969,10.214006233215333,False,True,1,True,3.1716,0.0254,1.514,
11,scattered_light,10.0,False,poison_welch,9.924081230163575,9.968904495239258,10.060527992248534,False,True,1,True,3.2005,0.0256,1.4963,
11,scattered_light,10.0,False,glitch_orig_asd,7.707063674926758,7.707954406738281,7.7085224151611325,False,True,1,True,3.2005,0.0256,1.5515,
11,scattered_light,10.0,False,gate_welch,9.966613960266113,10.079370498657227,10.827612113952636,False,True,1,True,3.2005,0.0256,1.4507,
11,scattered_light,10.0,False,adapt_full,100.02601776123046,100.03582763671875,100.04316902160645,False,True,1,True,3.2005,0.0256,1.6733,
11,scattered_light,10.0,False,fft_replace,100.0238712310791,100.03331756591797,100.41877746582031,False,True,1,True,3.2005,0.0256,1.3476,
12,ringing,6.0,True,poison_welch,9.929360580444335,9.980323791503906,10.095735931396485,False,True,1,True,3.1865,0.0272,1.4469,
12,ringing,6.0,True,glitch_orig_asd,99.8907257080078,99.8925552368164,99.89527053833008,False,True,1,True,3.1865,0.0272,1.4846,
12,ringing,6.0,True,gate_welch,10.001233100891113,10.10045051574707,10.681175231933594,False,True,1,True,3.1865,0.0272,1.6747,
12,ringing,6.0,True,adapt_full,17.749795150756835,34.26683044433594,45.05185337066651,True,False,1,True,3.1865,0.0272,1.4875,
12,ringing,6.0,True,fft_replace,9.95471477508545,10.012435913085938,10.140076828002929,False,True,1,True,3.1865,0.0272,1.3774,
13,ringing,6.0,True,poison_welch,10.619240951538085,12.578325271606445,16.152693939208984,False,False,1,True,3.1682,0.0268,1.4759,
13,ringing,6.0,True,glitch_orig_asd,8.883758354187012,8.925159454345703,8.943010520935058,False,True,1,True,3.1682,0.0268,1.5707,
13,ringing,6.0,True,gate_welch,9.98487720489502,10.082231521606445,10.516689491271972,False,True,1,True,3.1682,0.0268,1.5672,
13,ringing,6.0,True,adapt_full,20.783052825927733,34.60369110107422,44.29034843444824,True,False,1,True,3.1682,0.0268,1.4672,
13,ringing,6.0,True,fft_replace,9.955420112609863,10.018194198608398,10.134090805053711,False,True,1,True,3.1682,0.0268,1.5622,
14,ringing,10.0,True,poison_welch,9.941728019714356,9.992341995239258,10.117127609252929,False,True,1,True,3.1827,0.026,1.4844,
14,ringing,10.0,True,glitch_orig_asd,100.29612579345704,100.34457015991211,100.4098403930664,False,True,1,True,3.1827,0.026,1.528,
14,ringing,10.0,True,gate_welch,9.976937294006348,10.05400276184082,10.357646560668945,False,True,1,True,3.1827,0.026,1.6365,
14,ringing,10.0,True,adapt_full,19.58889675140381,35.222768783569336,45.143081474304196,True,False,1,True,3.1827,0.026,1.5217,
14,ringing,10.0,True,fft_replace,9.956293487548828,10.020730972290039,10.174878311157226,False,True,1,True,3.1827,0.026,1.4128,
15,ringing,10.0,True,poison_welch,9.916188430786132,9.950889587402344,10.018388557434083,False,True,1,True,3.2224,0.0314,1.471,
15,ringing,10.0,True,glitch_orig_asd,9.223922729492188,9.283899307250977,9.70497989654541,False,True,1,True,3.2224,0.0314,1.4404,
15,ringing,10.0,True,gate_welch,10.00014762878418,10.124914169311523,10.752964973449707,False,True,1,True,3.2224,0.0314,1.6301,
15,ringing,10.0,True,adapt_full,16.92741165161133,30.971654891967773,44.77580108642578,True,False,1,True,3.2224,0.0314,1.4792,
15,ringing,10.0,True,fft_replace,9.952729988098145,10.004940032958984,10.1094331741333,False,True,1,True,3.2224,0.0314,1.5146,
