gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,snr_bin,duration,peak_frequency,fetched,excerpt_window_s,excerpt_excess_energy_w,excerpt_native_snr,excerpt_denoised_energy_w,excerpt_background_rms_w
2IBJu4dUqF,1238208337.97461,H1,Koi_Fish,1.0,67.9936904907227,"[30,100)",1.25,72.3655624389648,True,2.5,10617.256235077986,103.0400710164642,11158.250311456562,0.9999999999999999
PVvCFkdoD8,1239363943.68945,H1,Koi_Fish,1.0,60.1538200378418,"[30,100)",1.5,58.396369934082,True,3.0,5780.048719270468,76.02663164490761,7590.327455669204,1.0
Mg3rywfajR,1238919051.74414,H1,Koi_Fish,0.9999998807907104,89.8646469116211,"[30,100)",1.5,72.3655624389648,True,3.0,6503.092960666414,80.64175692943708,10844.945875803412,1.0
DHP8OXdmCj,1239171477.9707,H1,Koi_Fish,1.0,171.420715332031,"[100,300)",1.75,72.3655624389648,True,3.5,48307.94444917924,219.79068326291548,50005.65174268311,1.0
akqh6eJN2k,1239105092.24512,H1,Koi_Fish,1.0,135.489501953125,"[100,300)",1.375,111.128150939941,True,2.75,32646.791718823268,180.6842320702702,33146.41455712281,1.0
7QvKe33Wy0,1251227879.7832,H1,Koi_Fish,1.0,132.359115600586,"[100,300)",1.75,60.8568916320801,True,3.5,28498.430710195385,168.81478226208563,28766.43487266835,0.9999999999999999
sNIR5X9bVe,1249590821.66504,H1,Koi_Fish,1.0,120.046356201172,"[100,300)",1.25,115.113151550293,True,2.5,24396.21537876335,156.19287877097133,25607.614240518087,1.0
12Rv3q5cJo,1249725807.0332,H1,Koi_Fish,0.9999998807907104,207.062744140625,"[100,300)",2.25,49.2082595825195,True,4.5,105205.39902408411,324.3538176499301,104775.56375655413,1.0
xYIgTfW46c,1248902668.92383,H1,Koi_Fish,0.999997854232788,544.096069335938,"[300,inf)",2.75177001953125,60.8568916320801,True,5.5035400390625,430330.211012329,655.995587646997,436787.3282204325,1.0
M8pEhuOP1F,1246994586.92676,H1,Koi_Fish,0.9999932050704956,310.95703125,"[300,inf)",1.5625,142.362854003906,True,3.125,152037.86066049547,389.92032604173824,154354.81155166228,1.0
pi3iyqv93I,1238754229.00879,H1,Koi_Fish,0.999990940093994,320.015014648438,"[300,inf)",1.875,137.711486816406,True,3.75,280711.02304665773,529.8216898605207,280546.6719767445,0.9999999999999999
OP0EzG0RAz,1257152891.04101,H1,Koi_Fish,0.9999886751174928,395.402557373047,"[300,inf)",2.625,49.2082595825195,True,5.25,269051.8734095796,518.7021046897531,267712.76705963525,0.9999999999999999
7JEqiDnAeg,1238733036.63476,H1,Koi_Fish,0.9999815225601196,323.875701904297,"[300,inf)",2.625,89.6763687133789,True,5.25,172519.969920142,415.3552334088762,172850.52017531105,1.0
LSZdUOEshZ,1262790978.0625,H1,Scattered_Light,0.9999990463256836,22.2807502746582,"[8,30)",2.0,35.9645385742188,False,,,,,
9Riw6r1kbo,1261529693.125,H1,Scattered_Light,0.9999983310699464,13.3398504257202,"[8,30)",1.77648997306824,31.2132205963135,True,3.55297994613648,962.2119627126231,31.01954162641065,538.7646575597091,1.0
b8PV2D5576,1238738333.875,H1,Scattered_Light,0.9999983310699464,11.4031600952148,"[8,30)",1.5,31.5901508331299,True,3.0,-306.01125704982405,0.0,348.88497885210745,1.0
pogQCNipaB,1238552901.375,H1,Scattered_Light,0.9999980926513672,11.972430229187,"[8,30)",2.0,31.5901508331299,True,4.0,-7.35795479042099,0.0,1208.6865145161628,1.0
iX6CwQJLn0,1238368990.0625,H1,Scattered_Light,0.999997615814209,9.10639953613281,"[8,30)",1.33594000339508,31.2882995605469,True,2.67188000679016,-561.533106855044,0.0,283.8056656594239,1.0
0PLIgSeAk2,1262793829.3125,H1,Scattered_Light,0.9999932050704956,30.0440902709961,"[30,100)",2.50586009025574,32.7411804199219,True,5.01172018051148,-1308.4426799617067,0.0,223.0833834920236,1.0
eeHMSgUVGG,1262799023.5625,H1,Scattered_Light,0.9999890327453612,78.7063369750977,"[30,100)",3.0,39.5274200439453,True,6.0,6444.239760882898,80.27602232848173,5047.2408690749135,1.0
ZRkMsKBI6N,1262795064.625,H1,Scattered_Light,0.99998676776886,44.0353393554688,"[30,100)",2.875,31.5094699859619,True,5.75,4406.573098884157,66.38202391373855,3182.969427154373,1.0
nN7HHBxD3r,1262800695.8125,H1,Scattered_Light,0.9999865293502808,54.320728302002,"[30,100)",3.0,39.1557998657227,True,6.0,2160.3788500877636,46.47987575379009,623.9055069908432,1.0
shuJog0gpq,1262796985.1875,H1,Scattered_Light,0.9999780654907228,38.2565612792969,"[30,100)",2.5,33.3303604125977,True,5.0,-1037.3235969715788,0.0,688.3800015380764,1.0
Il03KPo0uH,1262403838.0625,H1,Scattered_Light,0.9999620914459229,134.467956542969,"[100,300)",3.0,50.0562591552734,True,6.0,2372.6994132793916,48.71036248355571,13758.6756390562,1.0
VTEWyUGuNe,1262805917.6875,H1,Scattered_Light,0.999919891357422,112.102569580078,"[100,300)",1.75,38.4230117797852,True,3.5,8448.985528518766,91.91836339121126,8477.027407226364,1.0
ALys8oi1b1,1262400301.1875,H1,Scattered_Light,0.9993461966514589,105.609367370605,"[100,300)",2.75,51.0109214782715,True,5.5,1982.4205874184445,44.524381943138124,2289.500725845936,1.0
5ZFlZvgFwH,1262372380.9375,H1,Scattered_Light,0.9984887838363647,122.130989074707,"[100,300)",3.0,44.2718086242676,True,6.0,83140.180991754,288.34039084345085,81888.70573145119,1.0
31frrnaR48,1262375541.90625,H1,Scattered_Light,0.9983874559402466,107.658447265625,"[100,300)",2.75,47.6162986755371,True,5.5,25775.83201729364,160.54853477155635,23602.958126338333,0.9999999999999999
AAcd4Aliaw,1243985411.88672,H1,Whistle,1.0,29.8757991790771,"[8,30)",1.05566000938416,935.838623046875,True,2.11132001876832,16708.708756841155,129.262170633334,16188.23556792865,1.0
qUEUl7Vehj,1240107782.17578,H1,Whistle,1.0,29.8157806396484,"[8,30)",0.570309996604919,1016.27038574219,True,1.140619993209838,10455.956935127688,102.25437367236518,10598.792694986387,1.0
CUIpH3YB9Z,1244757100.73682,H1,Whistle,1.0,29.6756591796875,"[8,30)",0.15625,217.740966796875,True,1.0,5576.9805132945185,74.67918393564915,6265.402013914904,1.0
YmZqY3fIWo,1244852394.31396,H1,Whistle,1.0,29.5265998840332,"[8,30)",0.297850012779236,1270.18615722656,True,1.0,8377.472982684407,91.5285364391041,8800.824348590624,1.0
f0LNM5pinL,1240771810.58984,H1,Whistle,1.0,28.8773403167725,"[8,30)",1.39745998382568,1028.548828125,True,2.79491996765136,11522.075776900678,107.34093243912444,11615.028879240708,1.0
mDfHwtdGxc,1258760654.49414,H1,Whistle,1.0,83.5309982299805,"[30,100)",0.664059996604919,1254.22424316406,True,1.328119993209838,34626.43294934147,186.0817910203507,35262.985666689376,0.9999999999999999
si2L1d2Xlu,1266551143.7832,H1,Whistle,1.0,80.7855911254883,"[30,100)",1.14941000938416,1290.27526855469,True,2.29882001876832,163825.87061083072,404.7540865894139,163002.1824786875,1.0
9PjaLiIZU1,1243578956.31641,H1,Whistle,1.0,80.3962631225586,"[30,100)",1.76660001277924,774.734741210938,True,3.53320002555848,34007.23950151108,184.41051895570135,41427.14461903803,1.0
YPARM4YrZF,1245144269.82153,H1,Whistle,1.0,74.8965301513672,"[30,100)",0.421880006790161,747.302429199219,True,1.0,11313.55146862943,106.36517977528844,14477.208780064542,0.9999999999999999
0bTcyPqiZB,1240875900.92578,H1,Whistle,1.0,70.7535018920898,"[30,100)",0.954100012779236,1109.28735351562,True,1.908200025558472,1316.8633775380222,36.28861222943118,8138.762441999498,1.0
rxj29PeauQ,1260888319.23047,H1,Whistle,0.9999964237213136,149.430938720703,"[100,300)",1.38183999061584,483.845703125,False,,,,,
hz6EfDcDTj,1265092076.08984,H1,Tomte,0.9999998807907104,24.6868495941162,"[8,30)",1.0,39.7892990112305,True,2.0,-1722.2573795528442,0.0,849.5290024829467,1.0
8aiQCtoZkf,1250326821.13672,H1,Tomte,0.9999998807907104,24.2844390869141,"[8,30)",1.5625,39.7892990112305,True,3.125,-2490.6087910809947,0.0,844.4359319901394,1.0
K2mPAUToX3,1245911190.87891,H1,Tomte,0.9999998807907104,24.1168003082275,"[8,30)",1.0,39.7892990112305,True,2.0,-1275.4901272746938,0.0,816.8946840844894,0.9999999999999999
pkF2SHKncz,1258706093.80859,H1,Tomte,0.9999997615814208,26.8558807373047,"[8,30)",1.03612995147705,39.7892990112305,True,2.0722599029541,402.96813445496446,20.074066216264317,1162.3644699242304,0.9999999999999998
QAqkPP7yti,1260294617.66797,H1,Tomte,0.9999997615814208,24.1369705200195,"[8,30)",1.25,39.7892990112305,True,2.5,1315.1588042426793,36.26511828524318,1141.6335115214006,1.0
mv7hQ1X80K,1245134304.99023,H1,Tomte,0.9999998807907104,34.7463989257812,"[30,100)",1.25,49.2082595825195,True,2.5,1742.155831162754,41.73914027819397,2145.9283806775256,0.9999999999999999
RbhfJCSukh,1257802210.36133,H1,Tomte,0.9999997615814208,43.0369682312012,"[30,100)",1.125,49.2082595825195,True,2.25,3623.617147378256,60.19648783258253,3246.451292876438,0.9999999999999998
sOqAipy1UW,1257651734.31836,H1,Tomte,0.9999994039535522,39.0953712463379,"[30,100)",1.25,49.2082595825195,True,2.5,882.307531620645,29.70366192274355,2164.8458356384726,0.9999999999999998
YL73QjRcIG,1257734632.16992,H1,Tomte,0.9999992847442628,38.2873191833496,"[30,100)",1.25,49.2082595825195,True,2.5,942.6877481403371,30.703220484834112,2129.9830979297553,1.0
z1FrIXvdKb,1260323303.64648,H1,Tomte,0.9999992847442628,30.5561695098877,"[30,100)",0.75,49.2082595825195,True,1.5,2082.7052474220072,45.636665603678885,2267.4371525422425,0.9999999999999999
