cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json,gs_snr_bin,injected_rho_w
55,Koi_Fish,True,nan,stationary,0,H1,-0.9897256501811094,"{""gs_event_time"": 1259556042.02539, ""window_s"": 2.5, ""mode"": ""native""}",20.81143989562988,34.756752014160156,45.53943367004395,False,18.32388916015625,33.04176712036133,44.65918121337891,True,17.59916820526123,32.246524810791016,44.88536529541015,True,1,True,False,0.04945539308301144,0.0,,6.139,Koi_Fish,1259556042.02539,25.8250999450684,1.25,0.999975562095642,2.5,native,48.38286947900889,45.263549811444456,45.263549811444456,0.02229745152603909,False,"[[-1.838, -0.287]]","[8,30)",48.78647892772013
56,Koi_Fish,True,nan,stationary,0,H1,-0.7557438575815466,"{""gs_event_time"": 1259556042.02539, ""window_s"": 2.5, ""mode"": ""native""}",15.219197273254395,28.65118980407715,45.626010513305665,False,19.757067489624024,34.16339683532715,44.60010871887207,True,16.80103759765625,32.970909118652344,45.31579151153564,True,1,True,False,0.04477866252286711,0.0,,5.774,Koi_Fish,1259556042.02539,25.8250999450684,1.25,0.999975562095642,2.5,native,48.38286947900889,45.263549811444456,45.263549811444456,0.02229745152603909,False,"[[-1.463, -0.037]]","[8,30)",48.78647892772013
57,Koi_Fish,True,nan,stationary,0,H1,-0.3058841937176111,"{""gs_event_time"": 1264858501.41016, ""window_s"": 2.5, ""mode"": ""native""}",18.03079013824463,33.203243255615234,44.573632621765135,False,18.271331214904784,33.354522705078125,44.914076232910155,True,23.137099266052246,36.14057159423828,45.758099746704104,True,1,True,False,0.050061176253488146,0.0,,5.947,Koi_Fish,1264858501.41016,26.7551097869873,1.25,0.999969482421875,2.5,native,51.70367933154868,54.448089823515886,54.44808982351588,0.02552577703780567,False,"[[-1.088, 0.463]]","[8,30)",58.650365763655984
58,Koi_Fish,True,nan,stationary,0,H1,-0.3612675900746817,"{""gs_event_time"": 1264858501.41016, ""window_s"": 2.5, ""mode"": ""native""}",18.046911430358886,34.54464340209961,46.04658470153809,False,17.996051025390624,33.819881439208984,45.06238651275635,True,21.106087303161623,34.579383850097656,45.7045539855957,True,1,True,False,0.050061176245076534,0.0,,5.976,Koi_Fish,1264858501.41016,26.7551097869873,1.25,0.999969482421875,2.5,native,51.70367933154868,54.448089823515886,54.44808982351588,0.02552577703780567,False,"[[-1.088, 0.463]]","[8,30)",58.650365763655984
59,Koi_Fish,True,nan,stationary,0,H1,-0.9479458328290847,"{""gs_event_time"": 1264858501.41016, ""window_s"": 2.5, ""mode"": ""native""}",21.175362968444823,34.79057502746582,45.215509223937985,False,17.508340454101564,33.92339324951172,45.50477352142334,True,19.07774486541748,34.14129638671875,44.61919803619385,True,1,True,False,0.050929992112133754,0.0,,6.742,Koi_Fish,1264858501.41016,26.7551097869873,1.25,0.999969482421875,2.5,native,51.70367933154868,54.448089823515886,54.44808982351588,0.02552577703780567,False,"[[-1.838, -0.162]]","[8,30)",58.65036576365599
60,Koi_Fish,True,nan,stationary,0,H1,-0.5907253856300503,"{""gs_event_time"": 1244083194.32422, ""window_s"": 2.0, ""mode"": ""native""}",20.768691062927246,35.699188232421875,45.51210823059082,False,16.580182838439942,32.10915756225586,44.94868812561035,True,14.865141677856446,29.237253189086914,44.39082641601562,True,1,True,False,0.04009561262902023,0.0,,5.585,Koi_Fish,1244083194.32422,14.6695604324341,1.0,0.9999083280563354,2.0,native,45.67192044518097,29.079784261365592,29.079784261365596,0.014626615233421176,False,"[[-1.213, -0.037]]","[8,30)",31.32649573091708
61,Koi_Fish,True,nan,stationary,0,H1,-0.9030927654148573,"{""gs_event_time"": 1244083194.32422, ""window_s"": 2.0, ""mode"": ""native""}",17.542249488830567,32.16221809387207,45.177584648132324,False,17.86171226501465,34.206851959228516,45.51055965423584,True,23.140756797790527,36.65068435668945,45.09452304840088,True,0,False,False,0.0,0.0,,5.547,Koi_Fish,1244083194.32422,14.6695604324341,1.0,0.9999083280563354,2.0,native,45.67192044518097,29.079784261365592,29.079784261365596,0.014626615233421176,False,[],"[8,30)",31.32649573091708
62,Koi_Fish,True,nan,stationary,0,H1,-0.8648254077638755,"{""gs_event_time"": 1244083194.32422, ""window_s"": 2.0, ""mode"": ""native""}",18.96769733428955,34.9542293548584,45.26052894592285,False,14.447267532348633,26.886527061462402,44.026469421386714,True,14.862689781188966,28.75937271118164,43.6093334197998,True,1,True,False,0.04183260431518155,0.0,,7.588,Koi_Fish,1244083194.32422,14.6695604324341,1.0,0.9999083280563354,2.0,native,45.67192044518097,29.079784261365592,29.079784261365596,0.014626615233421176,False,"[[-1.588, -0.412]]","[8,30)",31.32649573091708
63,Koi_Fish,True,nan,stationary,0,H1,-0.557057159143431,"{""gs_event_time"": 1239024432.76172, ""window_s"": 3.5, ""mode"": ""native""}",24.00391788482666,35.70928382873535,44.65388145446777,False,19.977187156677246,34.2551155090332,45.06549854278565,True,22.81049690246582,34.671260833740234,45.52658348083496,True,1,True,False,0.047536200350762906,0.0,,5.16,Koi_Fish,1239024432.76172,92.556282043457,1.75,1.0,3.5,native,41.49471758796397,98.70593736308582,98.70593736308581,0.0363818582186309,False,"[[-1.338, 0.213]]","[30,100)",106.43668036892798
64,Koi_Fish,True,nan,stationary,0,H1,-1.002412980773195,"{""gs_event_time"": 1239024432.76172, ""window_s"": 3.5, ""mode"": ""native""}",20.581899452209473,34.16561698913574,44.26372299194336,False,17.618312454223634,33.24161148071289,44.44711055755615,True,17.668199348449708,32.343671798706055,44.923507118225096,True,1,True,False,0.05092999240641771,0.0,,4.77,Koi_Fish,1239024432.76172,92.556282043457,1.75,1.0,3.5,native,41.49471758796397,98.70593736308582,98.70593736308581,0.0363818582186309,False,"[[-1.838, -0.162]]","[30,100)",106.43668036892798
