cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json
39,Blip,True,10.0,stationary,0,H1,-1.1403457313551382,"{""gs_event_time"": 1253210165.88135, ""window_s"": 1.0, ""mode"": ""ladder""}",7.512138366699219,7.513496398925781,7.5225982666015625,True,9.333786392211914,9.388387680053711,9.483897972106934,False,10.174642753601074,11.810197830200195,18.002109909057616,False,1,True,False,0.08631682780596829,0.0,,4.297,Blip,1253210165.88135,21.4035301208496,0.1875,0.9999996423721312,1.0,ladder,102595.84503811695,0.0,57494.882291702,10.0,False,"[[-2.0, 2.0]]"
40,Scattered_Light,True,nan,stationary,0,H1,-0.9927753345628099,"{""gs_event_time"": 1261529693.125, ""window_s"": 3.55297994613648, ""mode"": ""native""}",20.470822906494142,34.867048263549805,45.71848545074463,False,19.110788917541505,35.447025299072266,45.000225639343256,True,21.29983196258545,35.24245071411133,45.53138389587402,True,0,False,False,0.0,0.0,,4.163,Scattered_Light,1261529693.125,13.3398504257202,1.77648997306824,0.9999983310699464,3.55297994613648,native,65.33752154632192,31.01954162641065,31.019541626410653,0.017306918565117787,False,[]
41,Scattered_Light,True,3.0,stationary,0,H1,-0.9927753345628099,"{""gs_event_time"": 1261529693.125, ""window_s"": 3.55297994613648, ""mode"": ""ladder""}",100.11724815368652,100.14702987670898,100.1876953125,True,9.644960975646972,9.807722091674805,11.276933479309083,False,8.768794441223145,8.82623291015625,8.843338012695312,False,2,True,False,0.08164486926058054,0.0,,4.518,Scattered_Light,1261529693.125,13.3398504257202,1.77648997306824,0.9999983310699464,3.55297994613648,ladder,11325.67671717312,31.01954162641065,5376.960926296391,3.0,False,"[[-2.0, 0.838], [0.912, 2.0]]"
42,Scattered_Light,True,6.0,stationary,0,H1,-0.9927753345628099,"{""gs_event_time"": 1261529693.125, ""window_s"": 3.55297994613648, ""mode"": ""ladder""}",99.95509338378906,99.95698928833008,100.01707725524902,True,8.742746162414551,8.782377243041992,8.792104339599609,False,99.97532653808594,99.97587585449219,99.97655067443847,False,1,True,False,0.08631744233917162,0.0,,4.826,Scattered_Light,1261529693.125,13.3398504257202,1.77648997306824,0.9999983310699464,3.55297994613648,ladder,22651.35343434624,31.01954162641065,10753.921852592783,6.0,False,"[[-2.0, 2.0]]"
43,Scattered_Light,True,10.0,stationary,0,H1,-0.9927753345628099,"{""gs_event_time"": 1261529693.125, ""window_s"": 3.55297994613648, ""mode"": ""ladder""}",103.20785293579101,103.23114395141602,103.23962936401367,True,13.381787872314453,13.619380950927734,13.89665584564209,False,99.899658203125,99.90019226074219,99.90896606445312,False,1,True,False,0.08632952641157228,0.0,,4.771,Scattered_Light,1261529693.125,13.3398504257202,1.77648997306824,0.9999983310699464,3.55297994613648,ladder,37752.2557239104,31.01954162641065,17923.203087654634,9.999999999999996,False,"[[-2.0, 2.0]]"
44,Scattered_Light,True,nan,stationary,0,H1,-1.4660163946254445,"{""gs_event_time"": 1238738333.875, ""window_s"": 3.0, ""mode"": ""native""}",19.136804580688477,33.695068359375,45.067600059509275,False,19.757805824279785,33.56947898864746,45.39025802612304,True,18.216198539733888,33.40434455871582,45.091515731811526,True,0,False,False,0.0,0.0,,4.639,Scattered_Light,1238738333.875,11.4031600952148,1.5,0.9999983310699464,3.0,native,0.0,0.0,0.0,0.0021456748718107765,False,[]
45,Scattered_Light,True,3.0,stationary,0,H1,-1.4660163946254445,"{""gs_event_time"": 1238738333.875, ""window_s"": 3.0, ""mode"": ""ladder""}",10.806930923461914,13.377408981323242,18.914335632324217,False,16.12769145965576,31.48441982269287,44.136366271972655,True,10.836988067626953,13.434938430786133,20.172463989257814,False,1,True,False,0.05932534244500094,0.0,,4.469,Scattered_Light,1238738333.875,11.4031600952148,1.5,0.9999983310699464,3.0,ladder,13353.495301662675,0.0,5096.957482583162,3.0000000000000004,False,"[[-2.0, 0.213]]"
46,Scattered_Light,True,6.0,stationary,0,H1,-1.4660163946254445,"{""gs_event_time"": 1238738333.875, ""window_s"": 3.0, ""mode"": ""ladder""}",13.076199913024903,14.909122467041016,17.622555351257326,False,16.250904273986816,31.740446090698242,44.83963279724121,True,11.648896026611329,13.370712280273438,16.547543716430663,False,2,True,False,0.0728666360798405,0.0,,4.432,Scattered_Light,1238738333.875,11.4031600952148,1.5,0.9999983310699464,3.0,ladder,26706.99060332535,0.0,10193.914965166325,6.000000000000001,False,"[[-2.0, 0.213], [0.912, 1.963]]"
47,Scattered_Light,True,10.0,stationary,0,H1,-1.4660163946254445,"{""gs_event_time"": 1238738333.875, ""window_s"": 3.0, ""mode"": ""ladder""}",9.675884437561034,10.070415496826172,11.274226760864257,True,19.37534351348877,33.7538948059082,43.254874801635744,True,9.84679889678955,10.775466918945312,12.121866607666016,False,1,True,False,0.08631740375343964,0.0,,4.127,Scattered_Light,1238738333.875,11.4031600952148,1.5,0.9999983310699464,3.0,ladder,44511.65100554225,0.0,16989.858275277205,10.0,False,"[[-2.0, 2.0]]"
48,Scattered_Light,True,nan,stationary,0,H1,-1.3508600682005232,"{""gs_event_time"": 1238552901.375, ""window_s"": 4.0, ""mode"": ""native""}",18.81630344390869,34.319990158081055,44.61999568939209,False,19.174149322509766,33.15733528137207,44.65131721496582,True,14.877706336975098,28.604104042053223,44.04197406768799,True,0,False,False,0.0,0.0,,4.151,Scattered_Light,1238552901.375,11.972430229187,2.0,0.9999980926513672,4.0,native,0.0,0.0,0.0,0.0021456748718107765,False,[]
