cell_id,family,rho_w_target,rho_w,seed,t_rel,params_json,amp_scale,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,detector_n_gates,detector_fired,gates_json,error,elapsed_s
26,sine_gaussian,71.96856730011521,71.96856730011521,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",4.715379294371125e-21,18.171718978881835,33.209510803222656,45.17561626434326,False,18.577211570739745,33.75137519836426,44.84676990509033,True,1,True,"[[-1.838, -0.287]]",,3.548
27,sine_gaussian,193.06977288832496,193.06977288832496,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",1.264992820615849e-20,17.649415969848633,32.36359786987305,44.17940254211426,False,17.38875732421875,32.71401023864746,44.613971900939944,True,1,True,"[[-1.838, -0.162]]",,3.831
28,sine_gaussian,517.9474679231213,517.9474679231213,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",3.3935909209251806e-20,10.93186550140381,13.282295227050781,18.69157047271728,False,16.006850051879884,31.44037628173828,44.55993728637695,True,1,True,"[[-2.0, -0.162]]",,3.767
29,sine_gaussian,1389.4954943731375,1389.4954943731375,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",9.10397209446543e-20,10.40196647644043,11.627086639404297,13.262633895874023,True,16.26754665374756,31.853046417236328,44.97048759460449,True,1,True,"[[-2.0, -0.162]]",,3.835
30,sine_gaussian,3727.593720314938,3727.593720314938,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",2.4423187658166357e-19,9.058464622497558,9.084421157836914,9.120927429199218,True,18.09053325653076,32.51772880554199,44.83737373352051,True,1,True,"[[-2.0, -0.037]]",,3.78
31,sine_gaussian,10000.0,10000.0,3000,-0.9761814756959467,"{""f0"": 118.5814950034572, ""q"": 8.053666320680389}",6.551998283789061e-19,99.98776245117188,99.98917007446289,100.13174552917481,True,17.927617645263673,33.04435729980469,45.16798553466797,True,2,True,"[[-2.0, 0.338], [0.912, 1.963]]",,3.407
32,sine_gaussian,10.0,10.0,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",1.0890348359529866e-21,18.566921424865722,33.89116859436035,45.11713638305664,False,18.642542839050293,33.97937202453613,45.9141300201416,True,0,False,[],,3.293
33,sine_gaussian,26.826957952797258,26.826957952797258,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",2.921549175324223e-21,18.73757266998291,33.657182693481445,45.488106155395506,False,17.691173934936522,33.90092086791992,45.22715682983399,True,1,True,"[[-1.713, -0.412]]",,3.528
34,sine_gaussian,71.96856730011521,71.96856730011521,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",7.837627688345244e-21,18.71518745422363,34.1445255279541,44.98927459716797,False,17.445825386047364,34.51948547363281,45.16561374664307,True,1,True,"[[-1.838, -0.162]]",,3.67
35,sine_gaussian,193.06977288832496,193.06977288832496,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",2.1025970844491735e-20,18.94299373626709,33.79841613769531,45.250661277770995,False,17.037120628356934,33.34048271179199,45.16994934082031,True,1,True,"[[-1.838, -0.162]]",,3.509
36,sine_gaussian,517.9474679231213,517.9474679231213,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",5.640628357619211e-20,19.108820915222168,33.607194900512695,44.58319492340088,False,15.522109031677246,31.734079360961914,45.254400634765624,True,1,True,"[[-2.0, -0.162]]",,3.343
37,sine_gaussian,1389.4954943731375,1389.4954943731375,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",1.5132089977720637e-19,17.99592342376709,34.570865631103516,45.502570724487306,False,18.321983528137206,32.30272674560547,45.32452182769775,True,1,True,"[[-2.0, -0.037]]",,3.536
38,sine_gaussian,3727.593720314938,3727.593720314938,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",4.059479415702561e-19,18.141301536560057,33.65365982055664,45.08255844116211,False,15.964338684082032,32.11063003540039,44.95557613372802,True,2,True,"[[-2.0, 0.213], [0.912, 1.963]]",,3.442
39,sine_gaussian,10000.0,10000.0,4000,-0.9544663452894396,"{""f0"": 275.1342161002111, ""q"": 5.68101641794904}",1.0890348359529865e-18,10.472026062011718,12.70937728881836,19.698246955871582,False,19.957898712158205,34.385929107666016,45.23560562133789,True,1,True,"[[-2.0, 2.0]]",,3.289
40,broadband_burst,10.0,10.0,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",2.7558458434579053e-22,19.628357696533204,34.87758255004883,45.370445251464844,False,19.276877021789552,34.021446228027344,45.223340606689455,True,0,False,[],,4.036
41,broadband_burst,26.826957952797258,26.826957952797258,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",7.393096056683632e-22,19.38738594055176,33.34573173522949,44.483708190917966,False,18.806538391113282,34.13469123840332,45.32274703979492,True,0,False,[],,4.757
42,broadband_burst,71.96856730011521,71.96856730011521,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",1.9833427705364303e-21,19.100516319274902,34.56926345825195,44.36633796691895,False,17.52336311340332,33.74148750305176,44.99380226135254,True,1,True,"[[-1.588, -0.037]]",,4.818
43,broadband_burst,193.06977288832496,193.06977288832496,500,-0.8199082283322517,"{""duration"": 0.2164149373174721}",5.3207053111165214e-21,18.19015235900879,32.68539237976074,43.66537017822265,False,18.776150703430176,33.841814041137695,45.48787002563476,True,1,True,"[[-1.713, 0.088]]",,4.837
